##SEC_STUDENT_CAN_SEE
 a     b     | and_ab or_ab and_a or_a | and_ab* or_ab* and_a* or_a* | PASS?
 0000  0000  |   0000   0000    0     0   |    0000     0000     0      0   | -
 0001  0001  |   0001   0001    0     1   |    0001     0001     0      1   | -
 0010  0011  |   0010   0011    0     1   |    0010     0011     0      1   | -
 0100  1000  |   0000   1100    0     1   |    0000     1100     0      1   | -
 0101  1010  |   0000   1111    0     1   |    0000     1111     0      1   | -
 0110  1001  |   0000   1111    0     1   |    0000     1111     0      1   | -
 0111  0111  |   0111   0111    0     1   |    0111     0111     0      1   | -
 1100  0011  |   0000   1111    0     1   |    0000     1111     0      1   | -
 1111  0000  |   0000   1111    1     1   |    0000     1111     1      1   | -
 1111  1111  |   1111   1111    1     1   |    1111     1111     1      1   | -
##END_STUDENT_CAN_SEE
