##SEC_STUDENT_CAN_SEE
 a        | mask     even1 | mask*    even1* | PASS?
 00101101 | 00001101   1    | 00001101   1     | -
 00011011 | 00001011   1    | 00001011   1     | -
 00110010 | 00000010   0    | 00000010   0     | -
 10100010 | 00000010   0    | 00000010   0     | -
 00010010 | 00000010   1    | 00000010   1     | -
 01111111 | 00001111   0    | 00001111   0     | -
 00110011 | 00000011   1    | 00000011   1     | -
 11101001 | 00001001   0    | 00001001   0     | -
 01011101 | 00001101   0    | 00001101   0     | -
 10110011 | 00000011   0    | 00000011   0     | -
 00010011 | 00000011   0    | 00000011   0     | -
 01100011 | 00000011   1    | 00000011   1     | -
 00100000 | 00000000   0    | 00000000   0     | -
 10111111 | 00001111   0    | 00001111   0     | -
 01010001 | 00000001   0    | 00000001   0     | -
 00110101 | 00000101   1    | 00000101   1     | -
 10001001 | 00001001   0    | 00001001   0     | -
 10110000 | 00000000   0    | 00000000   0     | -
 10101011 | 00001011   0    | 00001011   0     | -
 10110001 | 00000001   1    | 00000001   1     | -
##END_STUDENT_CAN_SEE
