##SEC_STUDENT_CAN_SEE
 a  b  c | sum_ab sum_a5 sum_b5 sum_c5 | sum_ab* sum_a5* sum_b5* sum_c5* | PASS?
 12  7  0 |      19     17     12      5  |         19       17       12        5 | -
  1 10 13 |      11      6     15     18  |         11        6       15       18 | -
 12  6  9 |      18     17     11     14  |         18       17       11       14 | -
  8  8 13 |      16     13     13     18  |         16       13       13       18 | -
  6  9  1 |      15     11     14      6  |         15       11       14        6 | -
  3  7  6 |      10      8     12     11  |         10        8       12       11 | -
  0  6  1 |       6      5     11      6  |          6        5       11        6 | -
 11  6  1 |      17     16     11      6  |         17       16       11        6 | -
 14 10  2 |      24     19     15      7  |         24       19       15        7 | -
  4 15 15 |      19      9     20     20  |         19        9       20       20 | -
 14  5  8 |      19     19     10     13  |         19       19       10       13 | -
  5 13  9 |      18     10     18     14  |         18       10       18       14 | -
 11 15  7 |      26     16     20     12  |         26       16       20       12 | -
 12  8 13 |      20     17     13     18  |         20       17       13       18 | -
 14  3  8 |      17     19      8     13  |         17       19        8       13 | -
  0  0  7 |       0      5      5     12  |          0        5        5       12 | -
  6  9  8 |      15     11     14     13  |         15       11       14       13 | -
  7 12  5 |      19     12     17     10  |         19       12       17       10 | -
  5 13 15 |      18     10     18     20  |         18       10       18       20 | -
 15 12 12 |      27     20     17     17  |         27       20       17       17 | -
##END_STUDENT_CAN_SEE
