##SEC_STUDENT_CAN_SEE
    a       | mul2       div2      mod2      | mul4       div4      mod4      | PASS?
  1011(11) | 00010110(22)  0101( 5)  0001( 1) | 00101100(44)  0010( 2)  0011( 3) | -
  1001( 9) | 00010010(18)  0100( 4)  0001( 1) | 00100100(36)  0010( 2)  0001( 1) | -
  0001( 1) | 00000010( 2)  0000( 0)  0001( 1) | 00000100( 4)  0000( 0)  0001( 1) | -
  0110( 6) | 00001100(12)  0011( 3)  0000( 0) | 00011000(24)  0001( 1)  0010( 2) | -
  1011(11) | 00010110(22)  0101( 5)  0001( 1) | 00101100(44)  0010( 2)  0011( 3) | -
  0100( 4) | 00001000( 8)  0010( 2)  0000( 0) | 00010000(16)  0001( 1)  0000( 0) | -
  1110(14) | 00011100(28)  0111( 7)  0000( 0) | 00111000(56)  0011( 3)  0010( 2) | -
  1010(10) | 00010100(20)  0101( 5)  0000( 0) | 00101000(40)  0010( 2)  0010( 2) | -
  1111(15) | 00011110(30)  0111( 7)  0001( 1) | 00111100(60)  0011( 3)  0011( 3) | -
  1111(15) | 00011110(30)  0111( 7)  0001( 1) | 00111100(60)  0011( 3)  0011( 3) | -
  1101(13) | 00011010(26)  0110( 6)  0001( 1) | 00110100(52)  0011( 3)  0001( 1) | -
  0101( 5) | 00001010(10)  0010( 2)  0001( 1) | 00010100(20)  0001( 1)  0001( 1) | -
  0101( 5) | 00001010(10)  0010( 2)  0001( 1) | 00010100(20)  0001( 1)  0001( 1) | -
  1110(14) | 00011100(28)  0111( 7)  0000( 0) | 00111000(56)  0011( 3)  0010( 2) | -
  1000( 8) | 00010000(16)  0100( 4)  0000( 0) | 00100000(32)  0010( 2)  0000( 0) | -
  0111( 7) | 00001110(14)  0011( 3)  0001( 1) | 00011100(28)  0001( 1)  0011( 3) | -
  0011( 3) | 00000110( 6)  0001( 1)  0001( 1) | 00001100(12)  0000( 0)  0011( 3) | -
  1000( 8) | 00010000(16)  0100( 4)  0000( 0) | 00100000(32)  0010( 2)  0000( 0) | -
  0010( 2) | 00000100( 4)  0001( 1)  0000( 0) | 00001000( 8)  0000( 0)  0010( 2) | -
  0110( 6) | 00001100(12)  0011( 3)  0000( 0) | 00011000(24)  0001( 1)  0010( 2) | -
##END_STUDENT_CAN_SEE
