##SEC_STUDENT_CAN_SEE
 a         | div2        div4        div8        | PASS?
 01101001(105) | 00110100( 52) 00011010( 26) 00001101( 13) | -
 01000000( 64) | 00100000( 32) 00010000( 16) 00001000(  8) | -
 01101001(105) | 00110100( 52) 00011010( 26) 00001101( 13) | -
 10100011(163) | 01010001( 81) 00101000( 40) 00010100( 20) | -
 01100110(102) | 00110011( 51) 00011001( 25) 00001100( 12) | -
 10010111(151) | 01001011( 75) 00100101( 37) 00010010( 18) | -
 11110010(242) | 01111001(121) 00111100( 60) 00011110( 30) | -
 11010000(208) | 01101000(104) 00110100( 52) 00011010( 26) | -
 00110100( 52) | 00011010( 26) 00001101( 13) 00000110(  6) | -
 10111101(189) | 01011110( 94) 00101111( 47) 00010111( 23) | -
 01101100(108) | 00110110( 54) 00011011( 27) 00001101( 13) | -
 01010100( 84) | 00101010( 42) 00010101( 21) 00001010( 10) | -
 01000011( 67) | 00100001( 33) 00010000( 16) 00001000(  8) | -
 01101011(107) | 00110101( 53) 00011010( 26) 00001101( 13) | -
 01001111( 79) | 00100111( 39) 00010011( 19) 00001001(  9) | -
 11001010(202) | 01100101(101) 00110010( 50) 00011001( 25) | -
 11010100(212) | 01101010(106) 00110101( 53) 00011010( 26) | -
 10101011(171) | 01010101( 85) 00101010( 42) 00010101( 21) | -
 10011101(157) | 01001110( 78) 00100111( 39) 00010011( 19) | -
 01110101(117) | 00111010( 58) 00011101( 29) 00001110( 14) | -
##END_STUDENT_CAN_SEE
