##SEC_STUDENT_CAN_SEE
 a         | mul2         mul4         mul8         be4    | PASS?
  1101(13) | 00011010(26) 00110100(52) 01101000(104)    0(0) | -
  1001( 9) | 00010010(18) 00100100(36) 01001000(72)    0(0) | -
  0101( 5) | 00001010(10) 00010100(20) 00101000(40)    0(0) | -
  1011(11) | 00010110(22) 00101100(44) 01011000(88)    0(0) | -
  0100( 4) | 00001000( 8) 00010000(16) 00100000(32)    1(1) | -
  1110(14) | 00011100(28) 00111000(56) 01110000(112)    0(0) | -
  0101( 5) | 00001010(10) 00010100(20) 00101000(40)    0(0) | -
  1110(14) | 00011100(28) 00111000(56) 01110000(112)    0(0) | -
  1000( 8) | 00010000(16) 00100000(32) 01000000(64)    1(1) | -
  1111(15) | 00011110(30) 00111100(60) 01111000(120)    0(0) | -
  0110( 6) | 00001100(12) 00011000(24) 00110000(48)    0(0) | -
  0100( 4) | 00001000( 8) 00010000(16) 00100000(32)    1(1) | -
  0110( 6) | 00001100(12) 00011000(24) 00110000(48)    0(0) | -
  1110(14) | 00011100(28) 00111000(56) 01110000(112)    0(0) | -
  1101(13) | 00011010(26) 00110100(52) 01101000(104)    0(0) | -
  1101(13) | 00011010(26) 00110100(52) 01101000(104)    0(0) | -
  0111( 7) | 00001110(14) 00011100(28) 00111000(56)    0(0) | -
  1011(11) | 00010110(22) 00101100(44) 01011000(88)    0(0) | -
  1101(13) | 00011010(26) 00110100(52) 01101000(104)    0(0) | -
  0100( 4) | 00001000( 8) 00010000(16) 00100000(32)    1(1) | -
##END_STUDENT_CAN_SEE
