##SEC_STUDENT_CAN_SEE
        a        b        c       |     bgt   seq_bgt |  bgt*    seq_bgt* | PASS?
  1000( -8)  1011( -5)  0100(  4) |    0(0)      0(0) |   0(0)       0(0) | -
  0110(  6)  0010(  2)  1100( -4) |    1(1)      1(1) |   1(1)       1(1) | -
  1100( -4)  0111(  7)  0000(  0) |    0(0)      0(0) |   0(0)       0(0) | -
  0111(  7)  0000(  0)  1110( -2) |    1(1)      1(1) |   1(1)       1(1) | -
  0010(  2)  1110( -2)  0100(  4) |    1(1)      0(0) |   1(1)       0(0) | -
  1111( -1)  1011( -5)  0011(  3) |    1(1)      0(0) |   1(1)       0(0) | -
  0100(  4)  0000(  0)  1111( -1) |    1(1)      1(1) |   1(1)       1(1) | -
  1101( -3)  1000( -8)  0111(  7) |    1(1)      0(0) |   1(1)       0(0) | -
  1000( -8)  1001( -7)  1101( -3) |    0(0)      0(0) |   0(0)       0(0) | -
  1100( -4)  0110(  6)  0101(  5) |    0(0)      0(0) |   0(0)       0(0) | -
  0010(  2)  0101(  5)  1101( -3) |    0(0)      0(0) |   0(0)       0(0) | -
  0110(  6)  0000(  0)  1011( -5) |    1(1)      1(1) |   1(1)       1(1) | -
  0011(  3)  1001( -7)  1111( -1) |    1(1)      0(0) |   1(1)       0(0) | -
  1010( -6)  0000(  0)  0100(  4) |    0(0)      0(0) |   0(0)       0(0) | -
  1000( -8)  1110( -2)  0101(  5) |    0(0)      0(0) |   0(0)       0(0) | -
  1111( -1)  1101( -3)  0111(  7) |    1(1)      0(0) |   1(1)       0(0) | -
  1101( -3)  1110( -2)  1001( -7) |    0(0)      0(0) |   0(0)       0(0) | -
  0111(  7)  1000( -8)  1110( -2) |    1(1)      0(0) |   1(1)       0(0) | -
  0000(  0)  0011(  3)  0000(  0) |    0(0)      0(0) |   0(0)       0(0) | -
  0011(  3)  1000( -8)  1111( -1) |    1(1)      0(0) |   1(1)       0(0) | -
##END_STUDENT_CAN_SEE
