##SEC_STUDENT_CAN_SEE
     a                   |   bt   ubt |  bt*  ubt* | PASS?
   10010000(u144,s 144) |  0(0)  1(1) |  0(0)   1(1) | -
   01100100(u100,s 100) |  0(0)  0(0) |  0(0)   0(0) | -
   01110111(u119,s 119) |  0(0)  0(0) |  0(0)   0(0) | -
   00101010(u 42,s  42) |  0(0)  0(0) |  0(0)   0(0) | -
   11010111(u215,s 215) |  0(0)  1(1) |  0(0)   1(1) | -
   01110110(u118,s 118) |  0(0)  0(0) |  0(0)   0(0) | -
   01000001(u 65,s  65) |  0(0)  0(0) |  0(0)   0(0) | -
   10100101(u165,s 165) |  0(0)  1(1) |  0(0)   1(1) | -
   11101101(u237,s 237) |  1(1)  1(1) |  1(1)   1(1) | -
   01101011(u107,s 107) |  0(0)  0(0) |  0(0)   0(0) | -
   00000000(u  0,s   0) |  1(1)  1(1) |  1(1)   1(1) | -
   00011001(u 25,s  25) |  1(1)  0(0) |  1(1)   0(0) | -
   00011010(u 26,s  26) |  0(0)  0(0) |  0(0)   0(0) | -
   11111111(u255,s 255) |  1(1)  1(1) |  1(1)   1(1) | -
   01111110(u126,s 126) |  0(0)  1(1) |  0(0)   1(1) | -
   01111100(u124,s 124) |  0(0)  0(0) |  0(0)   0(0) | -
   10000000(u128,s 128) |  0(0)  1(1) |  0(0)   1(1) | -
   11100111(u231,s 231) |  1(1)  1(1) |  1(1)   1(1) | -
   11100110(u230,s 230) |  0(0)  1(1) |  0(0)   1(1) | -
   11001000(u200,s 200) |  0(0)  1(1) |  0(0)   1(1) | -
##END_STUDENT_CAN_SEE
