##SEC_STUDENT_CAN_SEE
     a                |  relu_a         |  relu_a*        | PASS?
      00011000(s  24) | 00011000(s  24) | 00011000(s  24) | -
      01101111(s 111) | 01101111(s 111) | 01101111(s 111) | -
      01000111(s  71) | 01000111(s  71) | 01000111(s  71) | -
      01011011(s  91) | 01011011(s  91) | 01011011(s  91) | -
      00110000(s  48) | 00110000(s  48) | 00110000(s  48) | -
      01001010(s  74) | 01001010(s  74) | 01001010(s  74) | -
      00111100(s  60) | 00111100(s  60) | 00111100(s  60) | -
      10000101(s 133) | 00000000(s   0) | 00000000(s   0) | -
      11111101(s 253) | 00000000(s   0) | 00000000(s   0) | -
      00011111(s  31) | 00011111(s  31) | 00011111(s  31) | -
      00000000(s   0) | 00000000(s   0) | 00000000(s   0) | -
      00000001(s   1) | 00000001(s   1) | 00000001(s   1) | -
      01111111(s 127) | 01111111(s 127) | 01111111(s 127) | -
      10000000(s 128) | 00000000(s   0) | 00000000(s   0) | -
      10000001(s 129) | 00000000(s   0) | 00000000(s   0) | -
      10000010(s 130) | 00000000(s   0) | 00000000(s   0) | -
      11111111(s 255) | 00000000(s   0) | 00000000(s   0) | -
      11111010(s 250) | 00000000(s   0) | 00000000(s   0) | -
      11110000(s 240) | 00000000(s   0) | 00000000(s   0) | -
      11001000(s 200) | 00000000(s   0) | 00000000(s   0) | -
##END_STUDENT_CAN_SEE
