##SEC_STUDENT_CAN_SEE
         a              b           op |       o         |      o*         |   ovf  ovf* | PASS?
  01101010(s 106) 01011011(s  91) 1(3) | 01111011(s 123) | 01111011(s 123) | 0(0)  0(0)  | -
  11000010(s -62) 01000111(s  71) 1(1) | 01111011(s 123) | 01111011(s 123) | 1(1)  1(1)  | -
  10110110(s -74) 11000011(s -61) 1(3) | 11110111(s  -9) | 11110111(s  -9) | 0(0)  0(0)  | -
  11111110(s  -2) 01011110(s  94) 0(2) | 01011110(s  94) | 01011110(s  94) | 0(0)  0(0)  | -
  11110001(s -15) 10010111(s-105) 1(1) | 01011010(s  90) | 01011010(s  90) | 0(0)  0(0)  | -
  01100110(s 102) 10000011(s-125) 1(3) | 11100111(s -25) | 11100111(s -25) | 0(0)  0(0)  | -
  10001100(s-116) 01010101(s  85) 0(2) | 00000100(s   4) | 00000100(s   4) | 0(0)  0(0)  | -
  10001110(s-114) 00011010(s  26) 0(0) | 10101000(s -88) | 10101000(s -88) | 0(0)  0(0)  | -
  10110000(s -80) 01001110(s  78) 1(1) | 01100010(s  98) | 01100010(s  98) | 1(1)  1(1)  | -
  00111100(s  60) 10001100(s-116) 1(1) | 10110000(s -80) | 10110000(s -80) | 1(1)  1(1)  | -
  01111111(s 127) 00000001(s   1) 0(0) | 10000000(s-128) | 10000000(s-128) | 1(1)  1(1)  | -
  10000000(s-128) 11111111(s  -1) 0(0) | 01111111(s 127) | 01111111(s 127) | 1(1)  1(1)  | -
  01111111(s 127) 11111111(s  -1) 0(0) | 01111110(s 126) | 01111110(s 126) | 0(0)  0(0)  | -
  10000000(s-128) 00000001(s   1) 1(1) | 01111111(s 127) | 01111111(s 127) | 1(1)  1(1)  | -
  01111111(s 127) 11111111(s  -1) 1(1) | 10000000(s-128) | 10000000(s-128) | 1(1)  1(1)  | -
  10000000(s-128) 11111111(s  -1) 0(2) | 10000000(s-128) | 10000000(s-128) | 0(0)  0(0)  | -
  10000000(s-128) 11111111(s  -1) 1(3) | 11111111(s  -1) | 11111111(s  -1) | 0(0)  0(0)  | -
  00000000(s   0) 11111111(s  -1) 1(1) | 00000001(s   1) | 00000001(s   1) | 0(0)  0(0)  | -
  11111111(s  -1) 00000001(s   1) 0(0) | 00000000(s   0) | 00000000(s   0) | 0(0)  0(0)  | -
  00000000(s   0) 00000000(s   0) 1(3) | 00000000(s   0) | 00000000(s   0) | 0(0)  0(0)  | -
##END_STUDENT_CAN_SEE
