##SEC_STUDENT_CAN_SEE
v0 v1 v2 v3  | o0 o1 o2 o3 | o0* o1* o2* o3* | PASS?
0111 0000 0110 1000  | 0000 0110 0111 1000 | 0000 0110 0111 1000 | -
0011 1010 0100 0001  | 0001 0011 0100 1010 | 0001 0011 0100 1010 | -
0101 1100 0101 1000  | 0101 0101 1000 1100 | 0101 0101 1000 1100 | -
1110 1100 0110 1110  | 0110 1100 1110 1110 | 0110 1100 1110 1110 | -
1111 1111 1010 0000  | 0000 1010 1111 1111 | 0000 1010 1111 1111 | -
1101 1011 0010 0101  | 0010 0101 1011 1101 | 0010 0101 1011 1101 | -
0011 1101 0110 0100  | 0011 0100 0110 1101 | 0011 0100 0110 1101 | -
0001 0101 0001 0101  | 0001 0001 0101 0101 | 0001 0001 0101 0101 | -
1011 0100 1100 0100  | 0100 0100 1011 1100 | 0100 0100 1011 1100 | -
0010 1100 1000 1111  | 0010 1000 1100 1111 | 0010 1000 1100 1111 | -
0000 0000 0000 0000  | 0000 0000 0000 0000 | 0000 0000 0000 0000 | -
1111 1111 1111 1111  | 1111 1111 1111 1111 | 1111 1111 1111 1111 | -
0000 1111 0000 1111  | 0000 0000 1111 1111 | 0000 0000 1111 1111 | -
1111 0000 1111 0000  | 0000 0000 1111 1111 | 0000 0000 1111 1111 | -
0000 0001 0010 0011  | 0000 0001 0010 0011 | 0000 0001 0010 0011 | -
0011 0010 0001 0000  | 0000 0001 0010 0011 | 0000 0001 0010 0011 | -
0101 0101 0101 0101  | 0101 0101 0101 0101 | 0101 0101 0101 0101 | -
0001 0001 0010 0010  | 0001 0001 0010 0010 | 0001 0001 0010 0010 | -
0111 1000 1001 1010  | 0111 1000 1001 1010 | 0111 1000 1001 1010 | -
1110 1101 1100 1011  | 1011 1100 1101 1110 | 1011 1100 1101 1110 | -
##END_STUDENT_CAN_SEE
