##SEC_STUDENT_CAN_SEE
  v0   v1   v2   v3  |   o0   o1   o2   o3 |  o0*  o1*  o2*  o3* | o3_id   o3_id* | PASS?
1100 1111 1001 0000  | 0000 1001 1100 1111 | 0000 1001 1100 1111 |   1       1    | -
1100 0110 0010 1000  | 0010 0110 1000 1100 | 0010 0110 1000 1100 |   0       0    | -
0100 1010 0101 1010  | 0100 0101 1010 1010 | 0100 0101 1010 1010 |   3       3    | -
0100 1000 0110 0000  | 0000 0100 0110 1000 | 0000 0100 0110 1000 |   1       1    | -
1110 0111 0100 1000  | 0100 0111 1000 1110 | 0100 0111 1000 1110 |   0       0    | -
0101 1101 0111 1100  | 0101 0111 1100 1101 | 0101 0111 1100 1101 |   1       1    | -
1001 1101 0010 0100  | 0010 0100 1001 1101 | 0010 0100 1001 1101 |   1       1    | -
0010 0001 1111 0001  | 0001 0001 0010 1111 | 0001 0001 0010 1111 |   2       2    | -
1010 0101 0111 0001  | 0001 0101 0111 1010 | 0001 0101 0111 1010 |   0       0    | -
1111 1011 0100 1001  | 0100 1001 1011 1111 | 0100 1001 1011 1111 |   0       0    | -
0000 0000 0000 0000  | 0000 0000 0000 0000 | 0000 0000 0000 0000 |   3       3    | -
1111 1111 1111 1111  | 1111 1111 1111 1111 | 1111 1111 1111 1111 |   3       3    | -
0101 0101 0101 0100  | 0100 0101 0101 0101 | 0100 0101 0101 0101 |   2       2    | -
0001 0010 0010 0010  | 0001 0010 0010 0010 | 0001 0010 0010 0010 |   3       3    | -
0011 0010 0001 0011  | 0001 0010 0011 0011 | 0001 0010 0011 0011 |   3       3    | -
0111 0111 0101 0111  | 0101 0111 0111 0111 | 0101 0111 0111 0111 |   3       3    | -
0000 1111 0000 1111  | 0000 0000 1111 1111 | 0000 0000 1111 1111 |   3       3    | -
1001 1000 1001 0111  | 0111 1000 1001 1001 | 0111 1000 1001 1001 |   2       2    | -
0110 1110 1110 1101  | 0110 1101 1110 1110 | 0110 1101 1110 1110 |   2       2    | -
1010 1010 1010 1011  | 1010 1010 1010 1011 | 1010 1010 1010 1011 |   3       3    | -
##END_STUDENT_CAN_SEE
