##SEC_STUDENT_CAN_SEE
 clk rst_n |      cnt  |      cnt* | PASS? | edge
-----------+-----------+-----------+-------+------
   0   1   |  0000( 0) |  0000( 0) |    -  | ↓
   1   1   |  0001     |      ---- |       | ↑
   0   1   |  0001( 1) |  0001( 1) |    -  | ↓
   1   1   |  0010     |      ---- |       | ↑
   0   1   |  0010( 2) |  0010( 2) |    -  | ↓
   1   1   |  0011     |      ---- |       | ↑
   0   1   |  0011( 3) |  0011( 3) |    -  | ↓
   1   1   |  0100     |      ---- |       | ↑
   0   1   |  0100( 4) |  0100( 4) |    -  | ↓
   1   1   |  0101     |      ---- |       | ↑
   0   1   |  0101( 5) |  0101( 5) |    -  | ↓
   1   1   |  0110     |      ---- |       | ↑
   0   1   |  0110( 6) |  0110( 6) |    -  | ↓
   1   1   |  0111     |      ---- |       | ↑
   0   1   |  0111( 7) |  0111( 7) |    -  | ↓
   1   1   |  1000     |      ---- |       | ↑
   0   1   |  1000( 8) |  1000( 8) |    -  | ↓
   1   1   |  1001     |      ---- |       | ↑
   0   1   |  1001( 9) |  1001( 9) |    -  | ↓
   1   1   |  1010     |      ---- |       | ↑
   0   1   |  1010(10) |  1010(10) |    -  | ↓
   1   1   |  1011     |      ---- |       | ↑
   0   1   |  1011(11) |  1011(11) |    -  | ↓
   1   1   |  1100     |      ---- |       | ↑
   0   1   |  1100(12) |  1100(12) |    -  | ↓
   1   1   |  1101     |      ---- |       | ↑
   0   1   |  1101(13) |  1101(13) |    -  | ↓
   1   1   |  1110     |      ---- |       | ↑
   0   1   |  1110(14) |  1110(14) |    -  | ↓
   1   1   |  1111     |      ---- |       | ↑
   0   1   |  1111(15) |  1111(15) |    -  | ↓
   1   1   |  0000     |      ---- |       | ↑
   0   1   |  0000( 0) |  0000( 0) |    -  | ↓
   1   1   |  0001     |      ---- |       | ↑
   0   1   |  0001( 1) |  0001( 1) |    -  | ↓
   1   1   |  0010     |      ---- |       | ↑
   0   1   |  0010( 2) |  0010( 2) |    -  | ↓
   1   1   |  0011     |      ---- |       | ↑
   0   1   |  0011( 3) |  0011( 3) |    -  | ↓
   1   1   |  0100     |      ---- |       | ↑
   0   1   |  0100( 4) |  0100( 4) |    -  | ↓
   1   1   |  0101     |      ---- |       | ↑
   0   1   |  0101( 5) |  0101( 5) |    -  | ↓
   1   1   |  0110     |      ---- |       | ↑
   0   1   |  0110( 6) |  0110( 6) |    -  | ↓
   1   1   |  0111     |      ---- |       | ↑
   0   1   |  0111( 7) |  0111( 7) |    -  | ↓
   1   1   |  1000     |      ---- |       | ↑
   0   1   |  1000( 8) |  1000( 8) |    -  | ↓
   1   1   |  1001     |      ---- |       | ↑
   0   1   |  1001( 9) |  1001( 9) |    -  | ↓
   1   1   |  1010     |      ---- |       | ↑
   0   1   |  1010(10) |  1010(10) |    -  | ↓
   1   1   |  1011     |      ---- |       | ↑
   0   1   |  1011(11) |  1011(11) |    -  | ↓
   1   1   |  1100     |      ---- |       | ↑
   0   1   |  1100(12) |  1100(12) |    -  | ↓
   1   1   |  1101     |      ---- |       | ↑
   0   1   |  1101(13) |  1101(13) |    -  | ↓
   1   1   |  1110     |      ---- |       | ↑
   0   1   |  1110(14) |  1110(14) |    -  | ↓
   1   1   |  1111     |      ---- |       | ↑
   0   1   |  1111(15) |  1111(15) |    -  | ↓
   1   1   |  0000     |      ---- |       | ↑
##END_STUDENT_CAN_SEE
